date,area_code,area_name,population,cases,cases_7d,deaths,admissions,hospital_occupancy,vax_first_dose,vax_second_dose,vax_third_dose,vax_first_cum,vax_second_cum,workplace_pct_england,workplace_m,transit_pct_england,transit_m,retail_pct_england,residential_pct_england,workplace_pct_gb,stringency,c4_gatherings,c6_stay_home,c7_movement,h7_vaccine_policy
2020-09-01,E92000001,England,56550138,1962.0,1315.857142857143,4.0,58.0,496.0,0.0,0.0,0.0,0.0,0.0,-42.35362955757692,0.5764637044242308,-28.958679283679285,0.7104132071632072,-11.037514029180695,9.483394091288828,-44.0,64.35,4.0,1.0,2.0,0.0
2020-09-02,E92000001,England,56550138,2696.0,1532.2857142857142,10.0,79.0,451.0,0.0,0.0,0.0,0.0,0.0,-40.96811740890688,0.5903188259109312,-34.28359788359788,0.6571640211640213,-17.19951499118166,10.801967623020253,-42.0,64.35,4.0,1.0,2.0,0.0
2020-09-03,E92000001,England,56550138,2716.0,1726.5714285714287,6.0,69.0,468.0,0.0,0.0,0.0,0.0,0.0,-40.46264451922347,0.5953735548077653,-33.18002645502646,0.6681997354497354,-17.098148148148148,10.255287256603047,-42.0,64.35,4.0,1.0,2.0,0.0
2020-09-04,E92000001,England,56550138,2637.0,1904.0,8.0,67.0,474.0,0.0,0.0,0.0,0.0,0.0,-38.441153145100515,0.6155884685489948,-27.250793650793653,0.7274920634920634,-19.53849206349206,8.486635294530032,-40.0,64.35,4.0,1.0,2.0,0.0
2020-09-05,E92000001,England,56550138,2200.0,2068.1428571428573,12.0,94.0,471.0,0.0,0.0,0.0,0.0,0.0,-9.070723104056437,0.9092927689594357,-23.796055796055796,0.7620394420394421,-23.654251612584947,2.6739414906081573,-10.0,64.35,4.0,1.0,2.0,0.0
2020-09-06,E92000001,England,56550138,2079.0,2224.1428571428573,9.0,85.0,483.0,0.0,0.0,0.0,0.0,0.0,-6.757671957671957,0.9324232804232804,-24.512962962962963,0.7548703703703704,-20.520590828924163,1.909030784030784,-7.0,64.35,4.0,1.0,2.0,0.0
2020-09-07,E92000001,England,56550138,3530.0,2545.714285714286,13.0,84.0,555.0,0.0,0.0,0.0,0.0,0.0,-40.82442236126447,0.5917557763873553,-29.12932098765432,0.7087067901234567,-15.836111111111112,8.833673198146883,-43.0,64.35,4.0,1.0,2.0,0.0
2020-09-08,E92000001,England,56550138,3071.0,2704.1428571428573,10.0,99.0,535.0,0.0,0.0,0.0,0.0,0.0,-39.943972401867136,0.6005602759813287,-29.18769841269841,0.7081230158730158,-15.398372615039282,8.897848058374374,-42.0,64.35,4.0,1.0,2.0,0.0
2020-09-09,E92000001,England,56550138,2893.0,2732.285714285714,10.0,136.0,557.0,0.0,0.0,0.0,0.0,0.0,-37.753509210088154,0.6224649078991185,-30.03126102292769,0.6996873897707231,-17.96878306878307,8.754175502859715,-39.0,64.35,4.0,1.0,2.0,0.0
2020-09-10,E92000001,England,56550138,3143.0,2793.285714285714,12.0,143.0,572.0,0.0,0.0,0.0,0.0,0.0,-38.10282743572217,0.6189717256427782,-28.953835978835983,0.7104616402116402,-17.742592592592594,8.571667513772777,-40.0,64.35,4.0,1.0,2.0,0.0
2020-09-11,E92000001,England,56550138,2893.0,2829.8571428571427,9.0,135.0,622.0,0.0,0.0,0.0,0.0,0.0,-36.658613852034904,0.633413861479651,-23.68953999217157,0.7631046000782843,-19.10579771106087,7.479422770212243,-38.0,64.35,4.0,1.0,2.0,0.0
2020-09-12,E92000001,England,56550138,2224.0,2833.285714285714,18.0,143.0,663.0,0.0,0.0,0.0,0.0,0.0,-8.147230449862029,0.9185276955013797,-19.933665895508,0.80066334104492,-22.944784698732068,2.38689705356372,-9.0,64.35,4.0,1.0,2.0,0.0
2020-09-13,E92000001,England,56550138,1722.0,2782.285714285714,15.0,153.0,691.0,0.0,0.0,0.0,0.0,0.0,-5.750441955705114,0.9424955804429489,-14.464825233246286,0.8553517476675372,-18.157590362853522,0.6727392977392976,-7.0,64.35,4.0,1.0,2.0,0.0
2020-09-14,E92000001,England,56550138,2941.0,2698.1428571428573,17.0,172.0,812.0,0.0,0.0,0.0,0.0,0.0,-34.71762225753454,0.6528237774246546,-23.790953198847934,0.7620904680115207,-13.668037664090296,7.327392636603163,-36.0,65.74,4.0,1.0,2.0,0.0
2020-09-15,E92000001,England,56550138,3057.0,2696.1428571428573,15.0,194.0,891.0,0.0,0.0,0.0,0.0,0.0,-34.42479146908972,0.6557520853091028,-25.768760917445128,0.7423123908255487,-14.971696578275527,8.354621255937046,-36.0,65.74,4.0,1.0,2.0,0.0
2020-09-16,E92000001,England,56550138,3778.0,2822.5714285714284,23.0,183.0,929.0,0.0,0.0,0.0,0.0,0.0,-34.64160430213062,0.6535839569786939,-28.23357023093865,0.7176642976906136,-18.417212319843898,8.80219181403392,-36.0,65.74,4.0,1.0,2.0,0.0
2020-09-17,E92000001,England,56550138,3979.0,2942.0,25.0,199.0,984.0,0.0,0.0,0.0,0.0,0.0,-34.60623190974068,0.6539376809025932,-27.255344655344654,0.7274465534465535,-16.152116012642328,8.180578777947199,-36.0,65.74,4.0,1.0,2.0,0.0
2020-09-18,E92000001,England,56550138,4290.0,3141.5714285714284,21.0,205.0,1020.0,0.0,0.0,0.0,0.0,0.0,-33.42093400426734,0.6657906599573267,-23.89628383312594,0.7610371616687406,-19.269979581821687,7.385388003809057,-35.0,65.74,4.0,1.0,2.0,0.0
