model,split,rmse,mape,r2
SIR,nls_wave,16389.972724609706,67.97105611632566,-0.318714539428198
SIR,train,20024.66170388943,426.42083583260006,-0.964400079855039
SIR,test,62072.43433469829,82.55757672988979,-2.0210129169521656
SEIR,nls_wave,17919.098647268012,66.70002922156573,-0.5762556398307761
SEIR,train,26390.60145258577,563.0087190011815,-2.411914531578532
SEIR,test,54825.66549736192,58.80087122454971,-1.3568006583029386
SEIRS,nls_wave,17944.931771166346,66.44763740508905,-0.5808037434843227
SEIRS,train,27279.756771913824,573.9893225284936,-2.6456968667739336
SEIRS,test,51720.19037976676,54.0552394721658,-1.09737098844428
network uncoupled,train,73884.73089869876,302.68854516965644,-31.763610675247136
network uncoupled,test,64477.09755069828,97.04829280042728,-2.3216461970987763
network coupled,train,75526.5563279128,307.28240509956584,-33.23589859990348
network coupled,test,65081.82422174089,99.06585472429067,-2.384245408405934
EKF (filter),train,1898.3008630274248,16.695769072686318,0.9786662390114746
EKF (filter),test,9088.341896919424,15.641796911680302,0.9352373904722846
EKF (open-loop),test,62717.26532385242,71.94119487882207,-2.0841056973856977
