series,n_days,cases_sum,deaths_sum,vax1_end,workplace_m_min,workplace_m_max
England,577,17609247.0,109874.0,43217781.0,0.1540827637275006,0.9963382699172172
East Midlands,577,1497953.0,10431.0,3704694.0,0.15,1.02
East of England,577,1920825.0,12856.0,4832824.0,0.1318181818181818,1.02
London,577,2756591.0,13337.0,6307093.0,0.12,0.94
North East,577,886996.0,6057.0,2049277.0,0.1837499999999999,1.02
North West,577,2425338.0,17511.0,5522502.0,0.169,1.011
South East,577,2839746.0,16688.0,7217180.0,0.1321052631578948,1.013157894736842
South West,577,1644926.0,8038.0,4535981.0,0.16,1.02
West Midlands,577,1805251.0,12834.0,4366753.0,0.1585714285714285,1.0271428571428571
Yorkshire and The Humber,577,1699446.0,11402.0,4125343.0,0.1637499999999999,0.965
