date,england,regions,diff
2020-09-01,1962.0,1941.0,21.0
2020-09-02,2696.0,2670.0,26.0
2020-09-03,2716.0,2691.0,25.0
2020-09-04,2637.0,2611.0,26.0
2020-09-05,2200.0,2184.0,16.0
2020-09-06,2079.0,2066.0,13.0
2020-09-07,3530.0,3499.0,31.0
2020-09-08,3071.0,3045.0,26.0
2020-09-09,2893.0,2863.0,30.0
2020-09-10,3143.0,3104.0,39.0
2020-09-11,2893.0,2791.0,102.0
2020-09-12,2224.0,2197.0,27.0
2020-09-13,1722.0,1698.0,24.0
2020-09-14,2941.0,2876.0,65.0
2020-09-15,3057.0,2994.0,63.0
2020-09-16,3778.0,3721.0,57.0
2020-09-17,3979.0,3894.0,85.0
2020-09-18,4290.0,4220.0,70.0
2020-09-19,4215.0,4157.0,58.0
2020-09-20,4652.0,4618.0,34.0
2020-09-21,4727.0,4656.0,71.0
2020-09-22,5400.0,5319.0,81.0
2020-09-23,5933.0,5838.0,95.0
2020-09-24,6361.0,6278.0,83.0
2020-09-25,6105.0,5988.0,117.0
2020-09-26,5704.0,5630.0,74.0
2020-09-27,6084.0,6007.0,77.0
2020-09-28,8641.0,8491.0,150.0
2020-09-29,8832.0,8731.0,101.0
2020-09-30,10663.0,10573.0,90.0
2020-10-01,11444.0,11358.0,86.0
2020-10-02,11719.0,11618.0,101.0
2020-10-03,9820.0,9750.0,70.0
2020-10-04,9966.0,9926.0,40.0
2020-10-05,14218.0,14094.0,124.0
2020-10-06,14458.0,14337.0,121.0
2020-10-07,15418.0,15269.0,149.0
2020-10-08,15452.0,15335.0,117.0
2020-10-09,13159.0,13026.0,133.0
2020-10-10,10301.0,10219.0,82.0
2020-10-11,9781.0,9716.0,65.0
2020-10-12,16420.0,16258.0,162.0
2020-10-13,15660.0,15523.0,137.0
2020-10-14,16646.0,16448.0,198.0
2020-10-15,15428.0,15252.0,176.0
2020-10-16,14761.0,14595.0,166.0
2020-10-17,12487.0,12395.0,92.0
2020-10-18,11982.0,11885.0,97.0
2020-10-19,22369.0,22152.0,217.0
2020-10-20,21638.0,21459.0,179.0
2020-10-21,21762.0,21550.0,212.0
2020-10-22,19866.0,19685.0,181.0
2020-10-23,18359.0,18178.0,181.0
2020-10-24,13713.0,13619.0,94.0
2020-10-25,13353.0,13267.0,86.0
2020-10-26,23033.0,22850.0,183.0
2020-10-27,20762.0,20571.0,191.0
2020-10-28,20547.0,20389.0,158.0
2020-10-29,20257.0,20098.0,159.0
2020-10-30,19899.0,19764.0,135.0
2020-10-31,14565.0,14479.0,86.0
2020-11-01,13611.0,13521.0,90.0
2020-11-02,28394.0,28216.0,178.0
2020-11-03,22690.0,22507.0,183.0
2020-11-04,21053.0,20891.0,162.0
2020-11-05,21206.0,21044.0,162.0
2020-11-06,21179.0,21020.0,159.0
2020-11-07,16888.0,16806.0,82.0
2020-11-08,18272.0,18217.0,55.0
2020-11-09,28560.0,28417.0,143.0
2020-11-10,24836.0,24675.0,161.0
2020-11-11,25065.0,24922.0,143.0
2020-11-12,22320.0,22192.0,128.0
2020-11-13,22008.0,21864.0,144.0
2020-11-14,16290.0,16221.0,69.0
