date,obs_cases_7d,vax observed,vax none,vax +20%,mobility observed,mobility baseline,mobility extra 20% cut
2020-09-01,1315.857142857143,8884.239609255594,8884.239609255594,8884.239609255594,8884.239609255594,15411.620091726558,7107.391687404475
2020-09-02,1532.2857142857142,8636.644031734906,8636.644031734906,8636.644031734906,8636.644031734906,15610.75445886907,6784.920495884752
2020-09-03,1726.571428571429,8281.140422966371,8281.140422966371,8281.140422966371,8281.140422966371,15811.717869694212,6386.713592002615
2020-09-04,1904.0,8156.5142421005,8156.5142421005,8156.5142421005,8156.5142421005,16014.505318338233,6173.085112607722
2020-09-05,2068.1428571428573,11760.53764300032,11760.53764300032,11760.53764300032,11760.53764300032,16219.111027964329,8692.167102129715
2020-09-06,2224.1428571428573,12065.339471195812,12065.339471195812,12065.339471195812,12065.339471195812,16425.52843174485,8665.652844311291
2020-09-07,2545.714285714286,7473.173342132783,7473.173342132783,7473.173342132783,7473.173342132783,16633.75015381,5242.039553094297
2020-09-08,2704.1428571428573,7213.812642129561,7213.812642129561,7213.812642129561,7213.812642129561,16843.767990180473,4967.362417947972
2020-09-09,2732.285714285714,7128.4768992794325,7128.4768992794325,7128.4768992794325,7128.4768992794325,17055.572889702544,4816.34102420496
2020-09-10,2793.285714285714,6767.847475294198,6767.847475294198,6767.847475294198,6767.847475294198,17269.154935005576,4485.417071625594
2020-09-11,2829.8571428571427,6617.512334648883,6617.512334648883,6617.512334648883,6617.512334648883,17484.50332350217,4301.760274070557
2020-09-12,2833.285714285714,9386.74337463226,9386.74337463226,9386.74337463226,9386.74337463226,17701.606348452242,5956.391179107151
2020-09-13,2782.285714285714,9649.172447171657,9649.172447171657,9649.172447171657,9649.172447171657,17920.45138011311,5948.9984672030005
2020-09-14,2698.1428571428573,6558.633064092102,6558.633064092102,6558.633064092102,6558.633064092102,18141.024846998418,3944.9864488446196
2020-09-15,2696.1428571428573,6323.046014956429,6323.046014956429,6323.046014956429,6323.046014956429,18363.312217269548,3726.7927388393746
