date,area_name,cases_7d,pred
2020-09-01,East Midlands,91.0,1386.269779559505
2020-09-02,East Midlands,113.57142857142856,1452.590805770125
2020-09-03,East Midlands,136.0,1463.9170452408491
2020-09-04,East Midlands,148.71428571428572,1526.5781770202193
2020-09-05,East Midlands,165.28571428571428,2328.951117068579
2020-09-06,East Midlands,176.28571428571428,2646.076295474394
2020-09-07,East Midlands,213.8571428571429,1793.7670502089597
2020-09-08,East Midlands,236.57142857142856,1840.345462813782
2020-09-09,East Midlands,236.7142857142857,1936.6294796121526
2020-09-10,East Midlands,232.0,1942.6816763055108
2020-09-11,East Midlands,237.14285714285717,2025.3973192957867
2020-09-12,East Midlands,234.57142857142856,3016.1920657533096
2020-09-13,East Midlands,232.42857142857144,3380.078603933471
2020-09-14,East Midlands,211.57142857142856,2554.946322763234
2020-09-15,East Midlands,196.42857142857144,2636.8732597817425
2020-09-16,East Midlands,195.8571428571429,2694.9533890317794
2020-09-17,East Midlands,201.57142857142856,2757.476898663419
2020-09-18,East Midlands,207.0,2866.1616042164715
2020-09-19,East Midlands,222.0,4084.1480074068413
2020-09-20,East Midlands,242.42857142857144,4577.828173854644
2020-09-21,East Midlands,254.8571428571429,3446.120210601892
2020-09-22,East Midlands,263.0,3596.891582630502
2020-09-23,East Midlands,269.7142857142857,3724.405914627515
2020-09-24,East Midlands,281.42857142857144,3827.0712435856285
2020-09-25,East Midlands,291.57142857142856,4001.4171771955
2020-09-26,East Midlands,301.7142857142857,5613.113560811404
2020-09-27,East Midlands,321.1428571428572,6270.807415386204
2020-09-28,East Midlands,360.2857142857143,4971.571406245787
2020-09-29,East Midlands,408.8571428571428,5144.616664078806
2020-09-30,East Midlands,492.7142857142857,5243.528887773568
2020-10-01,East Midlands,597.0,5565.714110187076
2020-10-02,East Midlands,723.4285714285714,5707.155651180787
2020-10-03,East Midlands,824.1428571428571,7599.394319660532
2020-10-04,East Midlands,935.0,8623.543470426395
2020-10-05,East Midlands,1080.0,6797.882247679465
2020-10-06,East Midlands,1209.857142857143,7060.500934390924
2020-10-07,East Midlands,1330.571428571429,7492.088698284374
2020-10-08,East Midlands,1457.7142857142858,7566.44619715037
2020-10-09,East Midlands,1492.0,7989.535492682303
2020-10-10,East Midlands,1509.857142857143,10903.3795283054
2020-10-11,East Midlands,1501.142857142857,12119.030171082106
2020-10-12,East Midlands,1531.428571428571,9392.945755352262
2020-10-13,East Midlands,1542.142857142857,9746.542487932704
2020-10-14,East Midlands,1555.2857142857142,10195.496773894462
2020-10-15,East Midlands,1482.857142857143,10424.034579595667
2020-10-16,East Midlands,1461.857142857143,10839.782935871814
2020-10-17,East Midlands,1471.571428571429,14562.893151879181
2020-10-18,East Midlands,1469.142857142857,15769.253225462699
2020-10-19,East Midlands,1556.428571428571,11285.826052221855
2020-10-20,East Midlands,1634.428571428571,11485.816130863863
2020-10-21,East Midlands,1680.2857142857142,11594.445216691745
2020-10-22,East Midlands,1780.2857142857142,11832.135026300008
2020-10-23,East Midlands,1859.0,11739.246867196747
2020-10-24,East Midlands,1895.857142857143,16911.76964943218
2020-10-25,East Midlands,1952.0,19057.75928087199
2020-10-26,East Midlands,1949.571428571429,12732.290397565153
2020-10-27,East Midlands,1940.142857142857,12679.66710991291
2020-10-28,East Midlands,1944.2857142857144,13018.20447977451
2020-10-29,East Midlands,1940.571428571429,12758.49222467016
2020-10-30,East Midlands,1973.0,12906.356642962352
2020-10-31,East Midlands,1980.2857142857144,19034.78554737155
2020-11-01,East Midlands,1945.2857142857144,21042.18858211055
2020-11-02,East Midlands,2074.5714285714284,16990.621334304386
2020-11-03,East Midlands,2120.0,17452.38812268145
2020-11-04,East Midlands,2121.285714285714,18144.075548165052
2020-11-05,East Midlands,2137.0,16187.274982528941
2020-11-06,East Midlands,2173.285714285714,16044.907712898292
2020-11-07,East Midlands,2209.5714285714284,18007.92370763158
2020-11-08,East Midlands,2324.285714285714,18508.49896853875
2020-11-09,East Midlands,2287.428571428572,16285.869854475406
2020-11-10,East Midlands,2330.428571428572,16143.28123281769
