date,obs_sum,uncoupled,coupled
2020-09-01,1296.4285714285716,14232.065759670804,14307.513511362833
2020-09-02,1512.142857142857,14672.931518544603,14759.400963457058
2020-09-03,1705.5714285714284,14888.085247653455,14986.007711621449
2020-09-04,1884.5714285714284,15612.308512938405,15722.70970765878
2020-09-05,2048.9999999999995,24850.99145887159,24991.59579326809
2020-09-06,2204.714285714286,28122.35046423825,28296.46923285434
2020-09-07,2523.142857142857,18281.011519972933,18448.69486257717
2020-09-08,2680.857142857143,18653.688673151682,18839.932438050495
2020-09-09,2708.4285714285716,19609.186718163783,19813.989783665587
2020-09-10,2767.428571428571,19780.327962084895,19994.83760007873
2020-09-11,2793.1428571428573,20601.85281999856,20830.901486046343
2020-09-12,2795.0,32368.740893867936,32633.875819601835
2020-09-13,2742.4285714285716,36710.05574318393,36997.311551506835
2020-09-14,2653.4285714285716,26373.179351149323,26662.208932981746
2020-09-15,2646.1428571428573,27002.705160033784,27319.25131206208
2020-09-16,2768.714285714286,27605.803050751376,27931.75754179422
2020-09-17,2881.571428571429,28201.89182453936,28548.52597948847
2020-09-18,3085.714285714286,29554.64565581944,29890.896890094962
2020-09-19,3365.714285714286,44116.53470482699,44424.17500172756
2020-09-20,3782.8571428571427,50038.573784062064,50334.06897676767
2020-09-21,4037.1428571428573,35497.34676406086,35869.74641950128
2020-09-22,4369.285714285714,36649.302826246116,37077.563748075
2020-09-23,4671.714285714285,38092.97504210483,38525.03633113303
2020-09-24,5012.285714285714,38928.807604909685,39415.08814991065
2020-09-25,5264.857142857142,40918.3366495036,41389.77386324214
2020-09-26,5475.285714285715,60963.74405106663,61284.330326791685
2020-09-27,5673.714285714285,68259.72252070856,68599.46500957261
2020-09-28,6221.571428571429,50970.4311654059,51511.586163544576
2020-09-29,6709.0,52510.774545132,53094.7912523866
2020-09-30,7385.4285714285725,53476.494635066265,54059.13628977415
2020-10-01,8111.142857142857,57015.59149125736,57643.97913610512
2020-10-02,8915.428571428572,58620.36613295344,59248.54143996252
2020-10-03,9504.000000000002,82714.17681246552,82848.18192404362
2020-10-04,10063.857142857143,92490.44543447443,92540.87884457342
2020-10-05,10864.285714285714,70454.46395231687,70946.14954905256
2020-10-06,11665.142857142857,72125.93911074406,72762.01997312692
2020-10-07,12336.000000000004,76118.30864117337,76746.55497200001
2020-10-08,12904.142857142857,77331.80217455771,78018.27379233939
2020-10-09,13105.285714285714,81937.54636495681,82576.38711063337
2020-10-10,13172.285714285714,119352.28920027644,119149.49324756334
2020-10-11,13142.285714285716,134170.0635851453,133680.78742784043
2020-10-12,13451.42857142857,98166.04540377557,98662.62844986781
2020-10-13,13620.857142857143,101265.66374969669,101842.86219186592
2020-10-14,13789.285714285714,106417.16325465044,107012.64914180897
2020-10-15,13777.42857142857,108934.74487433225,109575.69499939655
2020-10-16,14001.571428571428,114545.34077384902,115119.15625650442
2020-10-17,14312.428571428572,162767.25908755715,162083.06269315837
2020-10-18,14622.285714285716,178794.1765909155,177752.59479823196
2020-10-19,15464.285714285714,130805.81163738822,131510.04167989467
2020-10-20,16312.285714285716,133409.92763777717,134311.8426159627
2020-10-21,17041.14285714286,135852.1549743217,136840.92925086338
2020-10-22,17674.428571428572,139529.02749390097,140570.07768624154
2020-10-23,18186.285714285714,141810.5341051811,142680.1988944288
2020-10-24,18361.142857142855,206426.48728626792,205422.01483068365
2020-10-25,18558.57142857143,229637.28493939544,228768.15532283796
2020-10-26,18658.285714285714,140230.76124055532,140993.3618676369
2020-10-27,18531.428571428572,137330.13671584032,138404.32121579096
2020-10-28,18365.57142857143,139975.44780164832,141029.94553802034
2020-10-29,18424.571428571428,136155.11455679484,137343.67570837124
2020-10-30,18651.14285714286,140208.7353003302,141224.70205324565
2020-10-31,18774.0,229794.85031134798,229005.66192188786
2020-11-01,18810.285714285714,256329.41373505697,255652.83433153157
2020-11-02,19576.85714285714,189063.37866900384,190673.18850015991
2020-11-03,19853.428571428572,195159.09031693675,197137.20478362404
2020-11-04,19925.142857142855,204049.79516938335,206302.8923260654
