region,b,R0_base,split,rmse,mape,r2
East Midlands,0.25578947368421057,1.7905263157894749,train,6739.234431264858,331.7512346589251,-46.74652630971641
East Midlands,0.25578947368421057,1.7905263157894749,test,5517.881974721045,99.62133419631044,-2.6837851674007385
East of England,0.25578947368421057,1.7905263157894749,train,8943.097455107107,547.6965814761296,-27.708087195641994
East of England,0.25578947368421057,1.7905263157894749,test,7393.627540605342,99.53747765210905,-2.890878402690992
London,0.3236842105263158,2.2657894736842117,train,17677.60524653668,577.2456992941993,-30.194927706139598
London,0.3236842105263158,2.2657894736842117,test,10950.242383937502,99.95635241256241,-1.3473104766650672
North East,0.23315789473684212,1.6321052631578956,train,2060.0100916779365,189.88568489391068,-6.101434455152269
North East,0.23315789473684212,1.6321052631578956,test,3349.640529875638,87.0713469665916,-1.1154923709729716
North West,0.25578947368421057,1.7905263157894749,train,9612.757523903636,243.64464022615047,-29.976590753221238
North West,0.25578947368421057,1.7905263157894749,test,9270.823331441825,99.32407850369815,-1.3584408991335297
South East,0.27842105263157896,1.9489473684210536,train,15534.754010072395,720.9213762616943,-45.29620686274827
South East,0.27842105263157896,1.9489473684210536,test,10845.58929124715,99.88945448116469,-3.454571305963194
South West,0.25578947368421057,1.7905263157894749,train,6121.507498308917,556.2095887649489,-28.20048769140333
South West,0.25578947368421057,1.7905263157894749,test,6019.623788085296,91.02054352338331,-3.7875057812447457
West Midlands,0.23315789473684212,1.6321052631578956,train,5055.370384265161,229.22246897597108,-12.024078353770454
West Midlands,0.23315789473684212,1.6321052631578956,test,6590.014567757003,96.68868328760833,-2.0453098028014796
Yorkshire and The Humber,0.23315789473684212,1.6321052631578956,train,3577.2489087057056,154.97090501568618,-8.307020397433865
Yorkshire and The Humber,0.23315789473684212,1.6321052631578956,test,6103.846940093666,90.18116086910884,-1.571375223348392
