,frac_missing,n_missing
date,0.0,0
area_code,0.0,0
area_name,0.0,0
population,0.0,0
cases,0.0,0
cases_7d,0.0,0
deaths,0.0,0
admissions,0.0,0
hospital_occupancy,0.0,0
vax_first_dose,0.0,0
vax_second_dose,0.0,0
vax_third_dose,0.0,0
vax_first_cum,0.0,0
vax_second_cum,0.0,0
workplace_pct_england,0.0,0
workplace_m,0.0,0
transit_pct_england,0.0,0
transit_m,0.0,0
retail_pct_england,0.0,0
residential_pct_england,0.0,0
workplace_pct_gb,0.0,0
stringency,0.0,0
c4_gatherings,0.0,0
c6_stay_home,0.0,0
c7_movement,0.0,0
h7_vaccine_policy,0.0,0
